Word,Length,Freq_HAL,Log_Freq_HAL,NPhon,NSyll,NMorph,POS
tickets,7,15851,9.67,6,2,2,NN|VB
ticking,7,729,6.59,5,2,2,VB
tickle,6,921,6.83,4,2,1,NN|VB
tickled,7,766,6.64,5,2,2,VB|JJ
ticklish,8,246,5.51,6,3,2,JJ
ticks,5,2423,7.79,4,1,2,NN|VB
Ticonderoga,11,61,4.11,11,5,NULL,NN
tidal,5,3515,8.16,4,2,2,JJ
tidbit,6,962,6.87,6,2,1,NN
tidbits,7,1410,7.25,7,2,2,NN
tiddlywinks,11,86,4.45,10,4,3,NN
comb,4,1614,7.39,3,1,1,NN|VB
tidemark,8,1,0,7,2,2,NN
tides,5,922,6.83,4,1,2,NN|VB
tidewater,9,255,5.54,7,3,2,NN
tideway,7,30,3.4,5,2,NULL,NN
tidied,6,69,4.23,5,2,2,VB|JJ
tidiness,8,7,1.95,7,3,2,NN
tidings,7,201,5.3,6,2,1,NN
come,4,232041,12.35,3,1,1,VB|NN
tidying,7,87,4.47,6,3,2,VB
cone,4,3540,8.17,3,1,1,NN
tiebreak,8,45,3.81,6,2,2,VB|NN
tiebreaker,10,153,5.03,7,3,3,NN
conk,4,57,4.04,4,1,1,VB|NN
tiepin,6,3,1.1,5,2,2,NN|VB
cons,4,4237,8.35,4,1,2,VB|NN
tiered,6,149,5,4,1,2,JJ
tiers,5,1090,6.99,4,1,2,NN
cook,4,13551,9.51,3,1,1,NN|VB
cool,4,49548,10.81,3,1,1,JJ|VB|NN
tiger,5,5393,8.59,4,2,1,NN
tigers,6,2760,7.92,5,2,2,NN
tiger's,7,161,5.08,5,2,2,encl
tight,5,19366,9.87,3,1,1,JJ|RB
tighten,7,1648,7.41,4,2,2,VB
tightened,9,1173,7.07,5,2,3,VB
tightening,10,950,6.86,6,3,3,NN|VB
tighter,7,1837,7.52,4,2,2,JJ
tightest,8,151,5.02,6,2,2,JJ
tightfisted,11,4,1.39,9,3,3,JJ
tightly,7,4669,8.45,5,2,2,RB
tightrope,9,169,5.13,6,2,2,NN
tightwad,8,70,4.25,6,2,NULL,NN
tigress,7,255,5.54,6,2,2,NN
Tijuana,7,353,5.87,7,3,1,NN
coop,4,851,6.75,3,1,1,NN
tiled,5,358,5.88,4,1,2,JJ|VB
tiles,5,1269,7.15,4,1,2,NN|VB
cope,4,3789,8.24,3,1,1,VB|NN
tilled,6,66,4.19,4,1,2,JJ|VB
tiller,6,309,5.73,4,2,2,NN
tilling,7,51,3.93,5,2,2,VB|NN
cops,4,7057,8.86,4,1,2,NN
tilted,6,944,6.85,6,2,2,VB
tilth,5,18,2.89,4,1,1,NN
tilting,7,536,6.28,6,2,2,VB
tilts,5,196,5.28,5,1,2,VB|NN
copy,4,126341,11.75,4,2,1,NN|VB
timber,6,4325,8.37,5,2,1,NN
timbered,8,18,2.89,6,2,2,JJ
timberlands,11,12,2.48,10,3,3,NN
timberline,10,627,6.44,8,3,NULL,NULL
timbers,7,131,4.88,6,2,2,NN
timbre,6,213,5.36,5,2,1,NN
cord,4,4635,8.44,4,1,1,NN
timed,5,2509,7.83,4,1,2,VB
timekeeper,10,98,4.58,7,3,3,NN
timeless,8,809,6.7,6,2,2,JJ
timeliness,10,187,5.23,8,3,3,NN
timely,6,4301,8.37,5,2,2,JJ|RB
timepiece,9,33,3.5,6,2,2,NN
timer,5,6360,8.76,4,2,2,NN|JJ
timers,6,1585,7.37,5,2,3,NN
times,5,156832,11.96,4,1,2,NN|VB|minor
time's,6,784,6.66,4,1,2,encl
timesaving,10,2,0.69,8,3,3,JJ|VB|NN
timetable,9,795,6.68,7,3,2,NN|JJ|VB
timetables,10,297,5.69,8,3,3,NN|VB
timeworn,8,15,2.71,7,2,3,JJ
Timex,5,327,5.79,6,2,2,NN
timid,5,739,6.61,5,2,1,JJ
timidity,8,141,4.95,8,4,2,NN
timidly,7,97,4.57,7,3,2,RB
timing,6,11279,9.33,5,2,2,NN|VB
Timmy,5,866,6.76,4,2,2,NN
timorous,8,20,3,7,3,1,JJ
Timothy,7,9549,9.16,6,3,1,NN
timpani,7,91,4.51,7,3,NULL,NN
Tim's,5,797,6.68,4,1,2,encl
core,4,19755,9.89,3,1,1,NN|JJ|VB
tincture,8,163,5.09,6,2,2,NN
tinder,6,277,5.62,5,2,1,NN
tinderbox,9,48,3.87,9,3,2,NN
tines,5,188,5.24,4,1,2,NN
tinfoil,7,82,4.41,6,2,2,NN
tinge,5,288,5.66,4,1,1,NN|VB
tingle,6,321,5.77,5,2,1,VB|NN
tingling,8,601,6.4,7,3,2,VB
tiniest,7,365,5.9,7,3,2,JJ
tinker,6,860,6.76,5,2,1,VB|NN
tinkering,9,727,6.59,7,3,2,NN|VB
tinkers,7,62,4.13,6,2,2,VB|NN
tinkle,6,80,4.38,5,2,1,NN|VB
tinkled,7,14,2.64,6,2,2,VB
tinkling,8,62,4.13,7,3,2,VB
tinning,7,27,3.3,5,2,2,VB|NN
tinny,5,203,5.31,4,2,2,JJ
tinplate,8,197,5.28,7,2,NULL,NULL
tinsel,6,141,4.95,5,2,1,NN|VB
tinsmith,8,3,1.1,7,2,2,NN
cork,4,1394,7.24,4,1,1,NN|VB
tintable,8,0,0,7,3,2,JJ
tinted,6,446,6.1,6,2,2,VB|JJ
tints,5,64,4.16,5,1,2,NN|VB
tintype,7,1,0,6,2,2,NN
corn,4,4988,8.51,4,1,1,NN
corp,4,21190,9.96,4,1,NULL,NULL
tipoff,6,75,4.32,5,2,2,NN
Tippecanoe,10,28,3.33,8,4,NULL,NN
tipped,6,1085,6.99,4,1,2,VB
tipper,6,254,5.54,4,2,2,NN
tipping,7,657,6.49,5,2,2,VB
cost,4,99509,11.51,4,1,1,NN|VB
tipsy,5,86,4.45,5,2,1,JJ
tiptoe,6,223,5.41,5,2,2,VB
tiptoeing,9,41,3.71,7,3,3,VB|NN|JJ
tirade,6,619,6.43,5,2,1,NN
tirades,7,264,5.58,6,2,2,NN
cosy,4,260,5.56,4,2,1,JJ
tired,5,19063,9.86,4,1,2,VB|JJ
tiredly,7,50,3.91,6,2,3,RB
tiredness,9,141,4.95,7,2,3,NN
tireless,8,292,5.68,6,2,2,JJ
tirelessly,10,182,5.2,8,3,3,RB
tires,5,8115,9,4,1,2,VB|NN
tiresome,8,938,6.84,5,2,2,JJ
tiring,6,756,6.63,5,2,2,VB
tissue,6,14342,9.57,4,2,1,NN
tissues,7,1399,7.24,5,2,2,NN
coup,4,2299,7.74,2,1,1,NN
titan,5,2713,7.91,4,2,1,NN
titanic,7,765,6.64,7,3,2,NN|JJ
titanium,8,1257,7.14,8,3,1,NN|JJ
titans,6,1904,7.55,5,2,2,NN
titer,5,76,4.33,4,2,1,NN
titers,6,61,4.11,5,2,2,NN
tithe,5,316,5.76,3,1,1,NN|VB
tithes,6,177,5.18,4,1,2,NN
titillate,9,34,3.53,6,3,1,VB
titillating,11,102,4.62,8,4,2,JJ|VB|NN
titillation,11,64,4.16,7,4,2,NN
title,5,79977,11.29,4,2,1,NN
titled,6,6297,8.75,5,2,2,VB
titleholder,11,14,2.64,9,4,3,NN
titles,6,21394,9.97,5,2,2,NN
titmouse,8,39,3.66,6,2,2,NN
titration,9,73,4.29,7,3,3,NN
cove,4,1145,7.04,3,1,1,NN
titter,6,27,3.3,4,2,1,NN|VB
titters,7,13,2.56,5,2,2,VB|NN
titular,7,276,5.62,6,3,2,JJ
tizzy,5,119,4.78,4,2,1,NN
cowl,4,334,5.81,3,1,1,NN
cows,4,3717,8.22,3,1,2,NN|VB
toadies,7,129,4.86,5,2,3,NN|VB
toadstool,9,38,3.64,7,2,2,NN
toady,5,104,4.64,4,2,2,NN|VB
toast,5,3064,8.03,4,1,1,NN|VB
toasted,7,759,6.63,6,2,2,VB
toaster,7,1937,7.57,5,2,2,NN
toasting,8,229,5.43,6,2,2,VB
toastrack,9,0,0,7,2,NULL,NULL
tobacco,7,5750,8.66,6,3,1,NN
tobacconist,11,7,1.95,10,4,2,NN
Tobago,6,381,5.94,6,3,1,NN
toboggan,8,74,4.3,7,3,1,NN
today,5,103604,11.55,4,2,2,NN|RB
today's,7,13651,9.52,5,2,3,encl
cozy,4,726,6.59,4,2,1,JJ|NN
toddle,6,32,3.47,4,2,1,VB|NN
toddler,7,1032,6.94,5,3,2,NN
toddlers,8,630,6.45,6,3,3,NN
toddy,5,96,4.56,4,2,1,NN
crab,4,980,6.89,4,1,1,NN
toehold,7,42,3.74,6,2,2,NN
toenail,7,134,4.9,5,2,2,NN
crag,4,135,4.91,4,1,1,NN
toffee,6,100,4.61,4,2,1,NN
cram,4,1273,7.15,4,1,1,VB|JJ
crap,4,21328,9.97,4,1,1,NN|VB|minor
together,8,90238,11.41,6,3,1,RB|NN
toggle,6,1962,7.58,4,2,1,NN|VB
crew,4,15253,9.63,3,1,1,NN|VB
crib,4,1280,7.15,4,1,1,NN|VB
togetherness,12,112,4.72,9,4,2,NN
toiled,6,79,4.37,4,1,2,VB
toilet,6,5523,8.62,5,2,1,NN
toiletry,8,14,2.64,7,3,NULL,NN
toilets,7,745,6.61,6,2,2,NN
toilsome,8,1,0,5,2,2,JJ
token,5,7311,8.9,5,2,1,NN|JJ
tokenish,8,0,0,7,3,NULL,NULL
tokens,6,1738,7.46,6,2,2,NN
Tokyo,5,7174,8.88,5,3,1,NN
crop,4,4786,8.47,4,1,1,NN|VB
tolerable,9,971,6.88,8,4,2,JJ
tolerance,9,5156,8.55,8,3,2,NN
tolerant,8,2573,7.85,8,3,2,JJ
tolerate,8,3816,8.25,7,3,2,VB
tolerated,9,1816,7.5,9,4,3,VB
tolerating,10,271,5.6,9,4,3,VB
toleration,10,294,5.68,8,4,3,NN
crow,4,4667,8.45,3,1,1,NN|VB
tolled,6,25,3.22,4,1,2,VB
tollgate,8,1,0,6,2,2,NN
tollhouse,9,4,1.39,6,2,2,NN
tolls,5,440,6.09,4,1,2,NN|VB
Tolstoy,7,266,5.58,6,2,1,NN
Tolstoy's,9,52,3.95,7,2,NULL,NULL
crux,4,845,6.74,5,1,1,NN
tomahawk,8,331,5.8,7,3,1,NN
tomato,6,2137,7.67,6,3,1,NN
tomatoes,8,2088,7.64,7,3,2,NN
Cuba,4,6767,8.82,5,2,1,NN
tomblike,8,2,0.69,6,2,NULL,NULL
tomboy,6,152,5.02,5,2,2,NN
tombs,5,501,6.22,4,1,2,NN
tombstone,9,554,6.32,7,2,2,NN
tombstones,10,1801,7.5,8,2,3,NN
telepathic,10,1809,7.5,9,4,3,JJ
telepathically,14,231,5.44,11,5,4,RB
telepathy,9,858,6.75,8,4,3,NN
telephone,9,39460,10.58,7,3,2,NN|VB
telephoned,10,257,5.55,8,3,3,VB
telephones,10,1433,7.27,8,3,3,NN|VB
telephoning,11,130,4.87,9,4,3,VB
telephoto,9,284,5.65,8,4,2,NN|JJ
teleprompter,12,91,4.51,11,4,3,NN
telescope,9,3324,8.11,8,3,2,NN
telescoped,10,18,2.89,9,3,3,VB
telescopes,10,995,6.9,9,3,3,NN
telescopic,10,203,5.31,10,4,3,JJ
telescoping,11,166,5.11,10,4,3,VB|NN
teletype,8,183,5.21,7,3,2,NN
teletypes,9,48,3.87,8,3,3,NN
televise,8,120,4.79,7,3,2,VB
televised,9,950,6.86,8,3,3,VB
television,10,22560,10.02,8,4,3,NN
cube,4,5028,8.52,4,1,1,NN|VB
teller,6,1272,7.15,4,2,2,NN
tellers,7,161,5.08,5,2,3,NN
telling,7,30726,10.33,5,2,2,VB|NN|JJ
tells,5,28605,10.26,4,1,2,VB
telltale,8,191,5.25,6,2,2,JJ
telly,5,363,5.89,4,2,1,NN
temerity,8,185,5.22,8,4,2,NN
cubs,4,1350,7.21,4,1,2,NN
temper,6,1776,7.48,5,2,1,NN|VB
tempera,7,51,3.93,7,3,1,NN
temperament,11,2136,7.67,10,3,2,NN
temperance,10,173,5.15,9,3,2,NN
temperate,9,533,6.28,8,3,2,JJ
temperamental,13,121,4.8,11,4,3,JJ
temperately,11,1,0,10,4,3,RB
temperature,11,14257,9.57,8,3,3,NN
temperatures,12,3867,8.26,9,3,4,NN
tempered,8,714,6.57,6,2,2,VB
tempers,7,254,5.54,6,2,2,NN|VB
tempest,7,3105,8.04,7,2,1,NN
tempestuous,11,45,3.81,10,3,2,JJ
template,8,6294,8.75,7,2,1,NN|VB
temple,6,13396,9.5,5,2,1,NN
temples,7,1794,7.49,6,2,2,NN
tempo,5,2819,7.94,5,2,1,NN
temporal,8,3170,8.06,8,3,2,JJ|NN
temporize,9,15,2.71,8,3,2,VB
tempos,6,247,5.51,6,2,2,NN
temporally,10,167,5.12,9,4,3,RB
temporarily,11,4942,8.51,11,5,3,RB
temporary,9,11884,9.38,9,4,2,JJ
tempt,5,475,6.16,5,1,1,VB
temptation,10,2650,7.88,8,3,2,NN
temptations,11,505,6.22,9,3,3,NN
tempted,7,3399,8.13,7,2,2,VB
tempter,7,36,3.58,6,2,2,NN
tempting,8,1261,7.14,7,2,2,JJ|VB
temptingly,10,34,3.53,9,3,3,RB
temptress,9,97,4.57,8,2,2,NN
tempts,6,84,4.43,6,1,2,VB
cues,4,1192,7.08,4,1,2,NN|VB
tenable,7,114,4.74,6,3,2,JJ
tenacious,9,245,5.5,7,3,2,JJ
tenaciously,11,149,5,9,4,3,RB
tenacity,8,339,5.83,8,4,2,NN
tenancy,7,153,5.03,7,3,2,NN
tenant,6,744,6.61,6,2,2,NN
tenants,7,871,6.77,7,2,3,NN
cuff,4,835,6.73,3,1,1,NN|VB
tended,6,2431,7.8,6,2,2,VB
tendencies,10,1830,7.51,8,3,3,NN
tendency,8,5954,8.69,7,3,2,NN
tender,6,4229,8.35,5,2,1,NN|VB
tendered,8,99,4.6,6,2,2,VB
tenderfoot,10,32,3.47,8,3,2,NN
tenderhearted,13,3,1.1,11,4,3,JJ
tenderize,9,43,3.76,7,3,2,VB
tenderloin,10,114,4.74,8,3,2,NN
tenderly,8,431,6.07,7,3,2,RB
tenderness,10,496,6.21,8,3,2,NN
tending,7,674,6.51,6,2,2,VB
tendon,6,631,6.45,6,2,1,NN
tendons,7,532,6.28,7,2,2,NN
tendril,7,96,4.56,7,2,1,NN
tends,5,9470,9.16,5,1,2,VB|NN
tenement,8,45,3.81,8,3,1,NN
tenements,9,49,3.89,9,3,2,NN
tenet,5,450,6.11,5,2,1,NN
tenets,6,893,6.79,6,2,2,NN
tenfold,7,120,4.79,7,2,2,JJ|RB
Tennessee,9,5779,8.66,6,3,1,NN
Tennessee's,11,29,3.37,7,3,NULL,NULL
tennis,6,6412,8.77,5,2,1,NN
Tennyson,8,209,5.34,6,3,2,NN
tenor,5,1490,7.31,4,2,1,NN
tenors,6,306,5.72,5,2,2,NN
tenpence,8,1,0,7,2,2,NN
cull,4,345,5.84,3,1,1,VB|NN
tense,5,2805,7.94,4,1,1,JJ|NN|VB
tensed,6,478,6.17,5,1,2,VB|JJ
tensely,7,27,3.3,6,2,2,RB
tenses,6,149,5,6,2,2,NN|VB
tensile,7,224,5.41,5,2,1,JJ
tensing,7,114,4.74,6,2,2,VB|NN|JJ
tension,7,6285,8.75,5,2,2,NN
tensional,9,3,1.1,7,3,3,JJ
tensioning,10,93,4.53,7,3,3,VB
tensionless,11,4,1.39,8,3,3,JJ|RB
tensions,8,1368,7.22,6,2,3,NN
tenspot,7,0,0,7,2,2,NN
cult,4,10847,9.29,4,1,1,NN
tentacle,8,428,6.06,7,3,1,NN
tentacles,9,927,6.83,8,3,2,NN
tentative,9,1762,7.47,8,3,1,JJ
tentatively,11,962,6.87,10,4,2,RB
tenth,5,2575,7.85,4,1,2,JJ|NN
tenths,6,221,5.4,5,1,3,NN
tenting,7,36,3.58,6,2,NULL,NULL
tents,5,1027,6.93,5,1,2,NN
tenuous,7,590,6.38,7,2,2,JJ
tenuously,9,60,4.09,9,3,3,RB
tenure,6,1463,7.29,5,2,1,NN
tepee,5,16,2.77,4,2,1,NN
tepees,6,6,1.79,5,2,2,NN
tepid,5,150,5.01,5,2,1,JJ
tequila,7,661,6.49,6,3,1,NN
Teresa,6,1654,7.41,6,3,1,NN
cups,4,5726,8.65,4,1,2,NN|VB
termed,6,1261,7.14,4,1,2,VB
terminal,8,24678,10.11,6,3,2,NN|JJ
terminals,9,5583,8.63,7,3,3,NN
terminate,9,2922,7.98,7,3,2,VB
terminated,10,3279,8.1,9,4,3,VB
terminates,10,763,6.64,8,3,3,VB
terminating,11,920,6.82,9,4,3,VB
termination,11,3980,8.29,8,4,3,NN
terming,7,39,3.66,5,2,2,VB
terminology,11,4073,8.31,10,5,3,NN
terminus,8,362,5.89,7,3,2,NN|JJ
termite,7,243,5.49,5,2,1,NN
terms,5,49922,10.82,4,1,2,NN|VB
terra,5,2294,7.74,4,2,1,minor|NN
terrace,7,1715,7.45,5,2,1,NN
terraced,8,51,3.93,6,2,2,VB
terraces,8,150,5.01,7,3,2,NN
terracotta,10,40,3.69,8,4,1,NN
terrain,7,6148,8.72,5,2,1,NN
terrains,8,162,5.09,6,2,2,NN
terrestrial,11,1292,7.16,10,3,1,JJ
terrible,8,12323,9.42,6,3,2,JJ
terribly,8,6590,8.79,7,3,3,RB
terrier,7,2637,7.88,5,2,1,NN
terriers,8,1209,7.1,6,2,2,NN
terrific,8,3890,8.27,7,3,2,JJ
terrified,9,1899,7.55,7,3,3,VB|JJ
terrifies,9,53,3.97,7,3,3,VB
terrify,7,112,4.72,6,3,2,VB
terrifying,10,970,6.88,8,4,3,JJ|VB
territorial,11,2210,7.7,10,4,2,JJ
territories,11,3000,8.01,9,4,2,NN
territory,9,9631,9.17,8,4,1,NN
terror,6,8576,9.06,4,2,2,NN
terrorism,9,3311,8.11,7,4,3,NN
terrorist,9,4000,8.29,7,3,3,JJ|NN
terrorists,10,3171,8.06,8,3,4,NN
terrorize,9,402,6,6,3,3,VB
terrorized,10,243,5.49,7,3,4,VB
terrorizing,11,257,5.55,8,4,4,VB
terry,5,17681,9.78,4,2,1,NN
terrycloth,10,35,3.56,8,3,2,NN
terse,5,616,6.42,3,1,1,JJ
tersely,7,81,4.39,5,2,2,RB
tertian,7,3,1.1,5,2,NULL,JJ|NN
tertiary,8,587,6.38,7,4,1,JJ
curb,4,2042,7.62,3,1,1,VB|NN
curd,4,148,5,3,1,1,NN
testament,9,5182,8.55,9,3,2,NN
testaments,10,164,5.1,10,3,3,NN
tested,6,17025,9.74,6,2,2,VB|JJ
tester,6,2660,7.89,5,2,2,NN
testes,6,277,5.62,6,2,1,NN
testicle,8,254,5.54,7,3,1,NN
testicular,10,178,5.18,10,4,2,JJ
testified,9,1550,7.35,8,3,3,VB
testifies,9,238,5.47,8,3,3,VB
testify,7,2037,7.62,7,3,2,VB
testily,7,26,3.26,7,3,2,RB
testimonial,11,398,5.99,11,4,3,NN|JJ
testimonials,12,732,6.6,12,4,4,NN
testimony,9,6328,8.75,9,4,2,NN
testing,7,40153,10.6,6,2,2,NN|VB
tests,5,23394,10.06,5,1,2,NN|VB
testy,5,347,5.85,5,2,1,JJ
tetanus,7,592,6.38,7,3,1,NN
tether,6,187,5.23,4,2,1,NN|VB
tethered,8,158,5.06,5,2,2,VB
tethers,7,39,3.66,5,2,2,VB|NN
tetragonal,10,4,1.39,9,4,3,JJ
cure,4,8515,9.05,4,1,1,NN|VB
Texan,5,545,6.3,5,2,2,NN
Texans,6,480,6.17,6,2,3,NN
Texas,5,44548,10.7,6,2,2,NN
curl,4,1236,7.12,3,1,1,VB
textbook,8,2603,7.86,8,2,2,NN
textbooks,9,1947,7.57,9,2,3,NN
textile,7,1238,7.12,7,2,1,NN
textiles,8,823,6.71,8,2,2,NN
textile's,9,0,0,8,2,2,encl
texts,5,7288,8.89,6,1,2,NN
textual,7,1250,7.13,8,2,2,JJ
texture,7,5678,8.64,6,2,1,NN|VB
textured,8,652,6.48,7,2,2,JJ|VB
textures,8,2701,7.9,7,2,2,NN|VB
curt,4,2743,7.92,3,1,1,JJ
Thailand,8,6869,8.83,6,2,2,NN
Thames,6,475,6.16,4,1,1,NN
thalidomide,11,147,4.99,9,4,1,NN
cusp,4,154,5.04,4,1,1,NN
thank,5,95706,11.47,4,1,1,VB|NN
thanked,7,1087,6.99,5,1,2,VB
thankful,8,2279,7.73,6,2,2,JJ
thankfulness,12,164,5.1,9,3,3,NN
thanking,8,1553,7.35,6,2,2,VB
thankless,9,149,5,7,2,2,JJ
thanks,6,253766,12.44,5,1,2,NN|VB
Thanksgiving,12,1152,7.05,10,3,4,NN
cuss,4,293,5.68,3,1,1,VB
thatch,6,124,4.82,3,1,1,NN|VB
thatches,8,0,0,5,2,2,VB|NN
that'd,6,1295,7.17,5,2,2,encl
that'll,7,2971,8,4,2,2,encl
that's,6,236693,12.37,4,1,2,encl
cute,4,11008,9.31,4,1,1,JJ|NN
thawed,6,289,5.67,3,1,2,VB|JJ
thawing,7,148,5,4,2,2,VB|NN
cuts,4,12607,9.44,4,1,2,NN|VB
theater,7,8628,9.06,5,2,1,NN
theatergoers,12,3,1.1,9,3,4,NN
theatergoing,12,4,1.39,9,4,3,VB|NN
theaters,8,1150,7.05,6,2,2,NN
theatre,7,10455,9.25,5,2,1,NN
theatregoer,11,7,1.95,8,3,3,NN
theatres,8,1050,6.96,6,2,2,NN
theatrical,10,1713,7.45,8,4,3,JJ
theatrically,12,103,4.63,9,4,4,RB
theatricals,11,10,2.3,9,4,4,NN
cyst,4,306,5.72,4,1,1,NN
theft,5,4875,8.49,4,1,1,NN
their,5,844722,13.65,3,1,1,minor
theirs,6,5053,8.53,4,1,1,minor
their's,7,296,5.69,4,1,NULL,NULL
theism,6,305,5.72,5,3,2,NN
theist,6,429,6.06,5,2,2,NN|JJ
theistic,8,334,5.81,7,3,3,JJ
Thelma,6,378,5.93,5,2,1,NN
Thelma's,8,3,1.1,6,2,NULL,NULL
czar,4,451,6.11,3,1,1,NN
thematic,8,613,6.42,7,3,2,JJ
theme,5,14345,9.57,3,1,1,NN
themes,6,4640,8.44,4,1,2,NN
themselves,10,69173,11.14,8,2,3,minor|NN
daft,4,558,6.32,4,1,1,JJ
thence,6,369,5.91,4,1,1,RB
thenceforth,11,24,3.18,8,2,2,minor|NN
theocracy,9,385,5.95,8,4,2,NN
Theodore,8,2004,7.6,6,2,1,NN
theologian,10,296,5.69,9,3,3,NN
theologians,11,528,6.27,10,3,3,NN
theological,11,1609,7.38,9,4,3,JJ
theology,8,2918,7.98,7,4,3,NN
theology's,10,4,1.39,8,4,4,encl
theorem,7,2220,7.71,6,2,2,NN
theoretical,11,6612,8.8,9,4,3,JJ
theoretically,13,3092,8.04,10,4,4,RB
theoretician's,14,1,0,10,4,4,encl
theories,8,10403,9.25,6,2,3,NN
theorist,8,535,6.28,7,2,2,NN
theorists,9,872,6.77,8,2,3,NN
theorize,8,240,5.48,6,2,2,VB
theorizing,10,261,5.56,8,3,3,NN|VB
theory,6,48737,10.79,5,2,2,NN
therapeutic,11,1261,7.14,10,4,1,JJ
therapies,9,868,6.77,7,3,3,NN
therapist,9,2391,7.78,8,3,2,NN
therapists,10,1151,7.05,9,3,3,NN
therapist's,11,71,4.26,9,3,NULL,NULL
therapy,7,9825,9.19,6,3,2,NN
there,5,1313357,14.09,3,1,1,minor|RB
thereabout,10,9,2.2,7,3,2,RB
thereabouts,11,736,6.6,8,3,3,RB
thereafter,10,3835,8.25,7,3,2,RB
thereby,7,6247,8.74,5,2,2,RB
there'd,7,983,6.89,4,1,2,encl
therefore,9,58572,10.98,6,2,2,RB
therefrom,9,155,5.04,7,2,2,RB
therein,7,2056,7.63,5,2,2,RB|NN
there'll,8,1275,7.15,4,1,2,encl
thereof,7,5200,8.56,5,2,2,RB
thereon,7,167,5.12,5,2,2,RB
there're,8,537,6.29,4,2,NULL,NULL
there's,7,118099,11.68,4,1,2,encl
Theresa,7,1176,7.07,6,3,1,NN
thereto,7,306,5.72,5,2,2,RB
theretofore,11,21,3.04,8,3,3,RB
thereunder,10,36,3.58,7,3,2,RB
thereupon,9,159,5.07,7,3,2,RB
there've,8,191,5.25,4,1,2,encl
therewith,9,94,4.54,6,2,2,RB
thermal,7,4240,8.35,4,2,2,JJ
thermally,9,162,5.09,5,3,3,RB
thermistor,10,84,4.43,7,3,2,NN
thermocouple,12,75,4.32,8,4,2,NN
thermodynamic,13,415,6.03,11,5,3,JJ
thermodynamically,17,66,4.19,13,6,4,RB
thermodynamics,14,1194,7.09,12,5,3,NN
thermoelectric,14,122,4.8,12,5,3,JJ
thermometers,12,119,4.78,9,4,3,NN
thermopile,10,14,2.64,7,3,NULL,NN
thermos,7,306,5.72,5,2,2,NN
thermometer,11,695,6.54,8,4,2,NN
thermonuclear,13,223,5.41,10,4,3,JJ
thermoplastic,13,62,4.13,11,4,2,JJ|NN
thermostat,10,979,6.89,8,3,2,NN
thermostats,11,97,4.57,9,3,3,NN
thesaurus,9,740,6.61,7,3,1,NN
these,5,591805,13.29,3,1,1,minor|NN
theses,6,856,6.75,5,2,2,NN
thesis,6,6281,8.75,5,2,2,NN
thespian,8,358,5.88,7,2,1,JJ|NN
thespians,9,14,2.64,8,2,2,NN
dale,4,9905,9.2,3,1,1,NN
they'd,6,13950,9.54,3,1,2,encl
they'll,7,19922,9.9,3,1,2,encl
they're,7,83503,11.33,3,1,2,encl
they've,7,21101,9.96,3,1,2,encl
thiamin,7,14,2.64,6,2,1,NN
thick,5,11429,9.34,3,1,1,JJ|NN|RB
thicken,7,260,5.56,5,2,2,VB
thickened,9,259,5.56,6,2,3,VB|JJ
thickener,9,40,3.69,6,3,3,NN
thickeners,10,8,2.08,7,3,4,NN
thickening,10,122,4.8,7,3,3,VB
thickens,8,224,5.41,6,2,3,VB
thicker,7,1582,7.37,4,2,2,JJ
thickest,8,171,5.14,6,2,2,JJ
thicket,7,3363,8.12,5,2,1,NN
thickets,8,43,3.76,6,2,2,NN
thickheaded,11,5,1.61,8,3,3,JJ
thickly,7,197,5.28,5,2,2,RB
thickness,9,2209,7.7,6,2,2,NN
thicknesses,11,187,5.23,8,3,3,NN
thickwitted,11,0,0,8,3,NULL,NULL
thief,5,4276,8.36,3,1,1,NN
thieve,6,15,2.71,3,1,1,VB
thievery,8,160,5.08,6,3,2,NN
thieves,7,2461,7.81,4,1,2,NN|VB
thieving,8,123,4.81,5,2,2,VB
thigh,5,2526,7.83,2,1,1,NN
thighs,6,5673,8.64,3,1,2,NN
thimble,7,114,4.74,5,2,1,NN
Dali,4,683,6.53,4,2,NULL,NN
thine,5,887,6.79,3,1,1,minor
thing,5,243604,12.4,3,1,1,NN
thingamabob,11,32,3.47,9,4,NULL,NN
thingamajig,11,38,3.64,10,4,NULL,NULL
things,6,262799,12.48,4,1,2,NN
think,5,652944,13.39,4,1,1,VB|NN
thinker,7,1007,6.91,5,2,2,NN
thinkers,8,1176,7.07,6,2,3,NN
thinking,8,64226,11.07,6,2,2,VB|NN|JJ
thinks,6,24130,10.09,5,1,2,VB
thinly,6,726,6.59,5,2,2,RB
thinned,7,229,5.43,4,1,2,VB
thinner,7,1985,7.59,4,2,2,JJ
thinness,8,87,4.47,6,2,2,NN
thinning,8,608,6.41,5,2,2,VB
third,5,58366,10.97,3,1,1,JJ|NN|RB
thirdly,7,789,6.67,5,2,2,RB
thirds,6,997,6.9,4,1,2,NN
thirst,6,1026,6.93,4,1,1,NN
thirsted,8,10,2.3,6,2,2,VB
thirsty,7,919,6.82,5,2,2,JJ
thirteen,8,1787,7.49,5,2,2,minor|NN
thirties,8,774,6.65,5,2,3,NN
thirteenth,10,448,6.1,6,2,3,JJ|NN
thirtieth,9,70,4.25,6,2,3,JJ|NN
synonyms,8,511,6.24,8,3,3,NN
synopsis,8,1861,7.53,8,3,2,NN
syntactic,9,664,6.5,9,3,2,JJ
